Dimension : Anvil height,"3.60000",mm
Dimension : Area,"181.17160",mm^2
Dimension : Final anvil height,"3.60000",mm
Dimension : Final area,"181.17160",mm^2
Dimension : Final thickness,"13.46000",mm
Dimension : Final width,"13.46000",mm
Dimension : Geometry,Rectangular
Dimension : Thickness,"13.46000",mm
Dimension : Width,"13.46000",mm

Time,Extension,Load,Compressive strain,Compressive stress,Cycle Count
(sec),(mm),(N),(mm/mm),(MPa),
"16.76400","-0.33703","0.03224","0.09362","-0.00018","13"
"16.86400","-0.17016","-0.07890","0.04727","0.00044","13"
"16.96400","-0.00359","-0.05956","0.00100","0.00033","13"
"16.96800","0.00312","-0.04987","-0.00087","0.00028","13"
"16.97000","0.00641","-0.04584","-0.00178","0.00025","14"
"17.07000","-0.13000","-0.00287","0.03611","0.00002","14"
"17.17000","-0.32109","0.00895","0.08919","-0.00005","14"
"17.27000","-0.49453","-0.06205","0.13737","0.00034","14"
"17.37000","-0.66297","-0.18108","0.18416","0.00100","14"
"17.47000","-0.82984","-0.68906","0.23051","0.00380","14"
"17.57000","-0.99656","-1.71702","0.27682","0.00948","14"
"17.57400","-1.00328","-1.76168","0.27869","0.00972","14"
"17.57600","-1.00656","-1.78419","0.27960","0.00985","14"
"17.67600","-0.87000","-1.20754","0.24167","0.00667","14"
"17.77600","-0.67891","-0.21387","0.18859","0.00118","14"
"17.87600","-0.50547","-0.08822","0.14041","0.00049","14"
"17.97600","-0.33703","0.04340","0.09362","-0.00024","14"
"18.07600","-0.17016","-0.08384","0.04727","0.00046","14"
"18.17600","-0.00359","-0.11798","0.00100","0.00065","14"
"18.18000","0.00312","-0.11897","-0.00087","0.00066","14"
"18.18200","0.00641","-0.11672","-0.00178","0.00064","15"
"18.28200","-0.13000","-0.02532","0.03611","0.00014","15"
"18.38200","-0.32109","-0.06098","0.08919","0.00034","15"
"18.48200","-0.49453","-0.10811","0.13737","0.00060","15"
"18.58200","-0.66281","-0.18293","0.18411","0.00101","15"
"18.68200","-0.83000","-0.56697","0.23056","0.00313","15"
"18.78200","-0.99656","-1.61025","0.27682","0.00889","15"
"18.78600","-1.00328","-1.66966","0.27869","0.00922","15"
"18.78800","-1.00656","-1.69894","0.27960","0.00938","15"
"18.88800","-0.87000","-1.14763","0.24167","0.00633","15"
"18.98800","-0.67891","-0.15196","0.18859","0.00084","15"
